1000 1500
262 448 45816 
608 496 90170 
136 284 57052 
153 738 99328 
684 356 89801 
539 497 38389 
122 549 95822 
139 12 84899 
772 330 91730 
716 244 86990 
437 986 69156 
547 341 80515 
50 190 83695 
733 782 47816 
442 112 58299 
152 651 64148 
492 606 96694 
925 356 45633 
868 633 39776 
501 494 35672 
106 69 49264 
394 733 99267 
298 303 57250 
759 126 47325 
204 850 44603 
588 708 27963 
322 139 35495 
722 807 32882 
314 867 66872 
231 436 81150 
875 364 42375 
221 911 91994 
140 37 51188 
16 161 82595 
408 601 79927 
553 786 60155 
408 569 36199 
366 292 70343 
583 752 66949 
839 885 80800 
225 75 71279 
22 659 51949 
577 398 55179 
552 664 43391 
434 488 34196 
462 902 91957 
696 858 26978 
647 613 56889 
952 652 25521 
49 52 66783 
302 289 26459 
328 819 92891 
568 622 83781 
849 478 62473 
457 268 90486 
183 924 96874 
704 308 94193 
283 392 62808 
437 143 66999 
203 324 69117 
430 136 42384 
199 750 31862 
273 584 65782 
351 309 25671 
728 52 69866 
447 358 80575 
785 158 79318 
823 379 30650 
433 122 72537 
622 247 85856 
375 83 82374 
228 511 64497 
832 609 90975 
176 52 67348 
735 836 84085 
986 767 77769 
67 323 63637 
239 287 30527 
309 246 97576 
58 159 86222 
288 126 56771 
345 50 57628 
180 214 29535 
648 424 87479 
508 883 41224 
378 272 75509 
86 884 59661 
101 157 95067 
82 154 90044 
826 937 71652 
503 419 29018 
837 19 41273 
286 206 67024 
664 818 42912 
127 626 56461 
313 381 99919 
490 609 48037 
832 663 95915 
690 302 39355 
504 445 47807 
372 24 33490 
589 863 49198 
742 184 47832 
588 986 86698 
866 222 91414 
218 344 82247 
198 678 33289 
96 584 95514 
557 758 59954 
274 124 67085 
423 292 30340 
82 797 71844 
267 197 54357 
431 698 96273 
517 603 46065 
487 148 73686 
579 413 44583 
843 872 57460 
316 770 25453 
812 22 43041 
563 753 57365 
286 122 65409 
503 164 48328 
195 518 91907 
953 23 38712 
712 230 47492 
514 30 35281 
66 480 41487 
400 215 57275 
413 214 79727 
214 317 63401 
484 370 69784 
91 613 63375 
446 80 33523 
563 874 91299 
398 308 35247 
930 159 36125 
212 440 99487 
710 656 94222 
977 664 86009 
925 68 45968 
758 693 80067 
73 427 96475 
611 426 68435 
78 903 26005 
477 822 62954 
252 14 91930 
966 645 43341 
443 20 77569 
457 492 34629 
976 737 70387 
633 938 48581 
805 76 56387 
631 494 65073 
483 504 30509 
549 639 71647 
375 115 49795 
27 384 39761 
849 538 31992 
460 181 99665 
552 28 67581 
506 840 30193 
620 537 98438 
40 445 32841 
472 358 91245 
79 707 57969 
280 656 82028 
280 788 81172 
904 261 72375 
828 466 97574 
570 45 53472 
884 891 84439 
419 919 67313 
175 444 32055 
538 287 83395 
490 762 84843 
290 334 91862 
905 817 75301 
523 679 36735 
225 316 50258 
353 843 87199 
120 787 71689 
615 428 74337 
682 247 43374 
374 6 26981 
351 152 39011 
298 577 48043 
591 598 88148 
554 942 98623 
33 909 27098 
474 124 77437 
160 35 89964 
54 942 53777 
379 921 33549 
895 238 53223 
219 435 55815 
642 948 91725 
287 559 33187 
440 217 91991 
936 290 29955 
567 716 66549 
102 973 52024 
283 827 82658 
429 934 73966 
801 577 91724 
859 217 80992 
837 650 65490 
608 181 71675 
656 101 55170 
716 118 64326 
570 25 73047 
871 283 81989 
408 873 98081 
893 388 90928 
773 22 94044 
464 925 59129 
590 356 69274 
484 794 93259 
563 468 56088 
37 881 56658 
736 443 76953 
870 647 78369 
781 420 62423 
378 332 82221 
77 96 87805 
794 47 77491 
439 112 65204 
988 897 71987 
435 718 98675 
174 57 59888 
78 476 72780 
995 840 98514 
774 344 86424 
29 704 46998 
656 544 29147 
470 50 91154 
654 917 90417 
313 641 35305 
30 857 78859 
503 512 91046 
172 713 65155 
482 213 56509 
662 740 25733 
941 146 36360 
481 600 86295 
655 688 42008 
944 80 28050 
757 672 54705 
359 61 53896 
705 885 90849 
541 758 92672 
661 892 78094 
586 268 92570 
81 945 63890 
497 146 31305 
924 219 91656 
807 33 73866 
483 479 95625 
309 42 81776 
423 149 90791 
677 241 76804 
480 699 68203 
141 604 53242 
689 269 33895 
352 574 55922 
342 984 87807 
158 578 38981 
803 757 31883 
247 777 28015 
83 885 88370 
409 456 50285 
429 768 87074 
667 681 63473 
875 805 99254 
99 816 93379 
680 837 97426 
172 707 55399 
940 47 75629 
558 997 66740 
53 811 57085 
7 462 85569 
340 297 76554 
738 325 64902 
761 753 89329 
732 445 62685 
353 791 90242 
662 972 44806 
655 916 66479 
112 12 38512 
971 519 34798 
211 278 90004 
216 638 87303 
332 256 55844 
818 526 90324 
789 786 65800 
915 815 71581 
429 314 99056 
334 975 91600 
657 384 89053 
812 963 73950 
344 134 70656 
60 347 39100 
357 695 46956 
901 389 76792 
252 258 30702 
136 416 63384 
938 82 66796 
857 213 75656 
486 384 49407 
37 690 70220 
441 269 96175 
34 20 40141 
439 612 69679 
73 364 40948 
605 454 73753 
427 25 37450 
445 625 74632 
931 802 39038 
853 480 62582 
46 523 35022 
398 518 64430 
839 8 46226 
925 658 34363 
715 600 41043 
831 955 49140 
944 104 68807 
36 584 38600 
650 154 32178 
987 40 45435 
531 922 60053 
705 403 38907 
175 932 56204 
519 577 30612 
391 298 56875 
696 438 95849 
881 297 92074 
465 184 60516 
926 995 95421 
303 942 64361 
345 223 54165 
564 248 54066 
548 764 55132 
535 973 39805 
704 155 31659 
605 785 97986 
193 306 47719 
27 999 28831 
499 310 77493 
858 126 85806 
418 310 43889 
213 105 33902 
125 479 81344 
57 283 46237 
213 506 26085 
414 81 27104 
971 369 59790 
748 34 76804 
416 805 93347 
981 246 77774 
670 211 62482 
88 800 36873 
540 954 73379 
582 574 50732 
244 398 99211 
652 711 62951 
692 304 92735 
727 493 60994 
757 491 68169 
816 470 53861 
307 105 54365 
959 780 97240 
504 442 74873 
676 451 64896 
664 79 71342 
469 382 95038 
346 221 33525 
725 125 32688 
767 396 49122 
479 831 95818 
296 233 98254 
802 215 96306 
281 894 66905 
554 553 46074 
587 928 96466 
344 126 76252 
148 264 51362 
83 595 37681 
850 486 92543 
731 141 43690 
703 534 45387 
828 285 56496 
765 344 88090 
594 866 75060 
775 10 31717 
389 67 35130 
945 388 42962 
348 533 57479 
611 212 84261 
160 267 39874 
912 243 58598 
953 684 85402 
292 979 84052 
892 760 61645 
854 878 28786 
123 139 46499 
296 236 62540 
852 516 65920 
660 836 81376 
439 332 84846 
30 976 96834 
376 758 94691 
234 938 56114 
738 430 56122 
820 663 84153 
942 358 51809 
562 969 63930 
702 968 36437 
795 349 94755 
162 195 80785 
798 905 97000 
885 221 80732 
625 837 27293 
90 171 72989 
547 627 39037 
861 202 50901 
255 970 66063 
297 576 80970 
921 516 94693 
168 686 53113 
91 732 55526 
726 357 39362 
155 193 26079 
346 955 87765 
922 609 27756 
357 575 47526 
78 956 45637 
694 116 66825 
731 790 99816 
304 900 55570 
225 318 87247 
787 634 53265 
806 495 49317 
855 868 26551 
235 469 76368 
285 961 27071 
897 520 34009 
489 799 96483 
672 533 59303 
391 604 88865 
963 396 71480 
163 354 43401 
207 390 77834 
995 731 89666 
483 651 59324 
833 529 45394 
282 907 56041 
396 857 70401 
995 101 90105 
472 585 28697 
132 437 98007 
76 370 58371 
225 208 28025 
962 742 88812 
8 74 63497 
963 493 31092 
794 364 32013 
731 817 88378 
97 970 27972 
337 406 98847 
254 927 63544 
955 938 44314 
633 575 58892 
466 415 42163 
330 218 85940 
47 970 99972 
890 16 96793 
970 301 45541 
656 265 59010 
813 6 89641 
394 848 76418 
440 794 93721 
996 242 45306 
344 314 56453 
762 925 95237 
665 482 64498 
853 546 69318 
228 239 34337 
126 115 85699 
285 179 44333 
656 420 33082 
462 117 50768 
603 222 81127 
76 891 91115 
877 669 28764 
376 991 97584 
974 821 78248 
508 821 69985 
187 494 27923 
11 590 99853 
959 53 67672 
198 445 80998 
694 582 79499 
403 561 90836 
511 159 56001 
679 425 62483 
798 987 70046 
94 387 88638 
523 33 84812 
195 507 49757 
790 841 91422 
118 598 60363 
75 91 77413 
285 289 44965 
785 125 42155 
13 932 44878 
489 577 85347 
135 764 28323 
974 313 61244 
815 425 43038 
231 597 42937 
450 626 84559 
699 919 81733 
984 30 99178 
990 409 60494 
871 505 73124 
920 504 43447 
155 596 26621 
744 475 90786 
782 387 28304 
32 814 66719 
405 34 69275 
26 111 46011 
351 866 29140 
188 716 25510 
251 298 83569 
807 310 81165 
303 132 90796 
376 419 42069 
843 935 69945 
99 998 92836 
188 713 55054 
198 223 44207 
938 944 56027 
610 453 90024 
248 974 66330 
47 118 49938 
780 865 63008 
643 22 39472 
481 910 94700 
145 102 37789 
350 376 91174 
557 584 78809 
724 100 32075 
894 782 94030 
353 301 41358 
557 37 54289 
617 242 42958 
700 755 99387 
83 28 66824 
837 237 82348 
291 695 82696 
310 600 55167 
21 873 79737 
763 335 49055 
24 989 88710 
242 657 48111 
384 586 52045 
368 640 46859 
368 340 80913 
331 604 73850 
922 231 97708 
840 639 97776 
997 703 78080 
997 463 87382 
427 640 26481 
320 76 75555 
272 372 46622 
26 695 45953 
115 903 74715 
631 865 39936 
704 700 32008 
242 360 78098 
290 362 74584 
917 863 45411 
865 904 40330 
959 264 84472 
378 116 68041 
772 365 37594 
64 2 75946 
84 885 59804 
795 251 76196 
417 603 43172 
61 516 51497 
389 127 52229 
900 510 47585 
781 772 51599 
402 204 74343 
192 14 49819 
535 222 33348 
799 456 74364 
250 138 94644 
539 753 37127 
830 30 38514 
581 702 91854 
67 195 52949 
80 521 49740 
134 77 51396 
172 719 26825 
30 966 56122 
57 188 60967 
468 71 26277 
480 347 34949 
757 707 65462 
564 283 87894 
515 354 41815 
792 914 42356 
549 554 85010 
649 348 76175 
428 809 60810 
138 73 42940 
275 885 34041 
951 540 51132 
263 173 98797 
865 550 78543 
584 555 63715 
33 48 56667 
547 284 74805 
249 52 42371 
439 299 39653 
356 213 56587 
127 162 61331 
821 432 28633 
399 653 48791 
522 771 56445 
116 872 65913 
17 848 28037 
887 886 79873 
113 9 81579 
150 422 78221 
663 282 61971 
163 254 57689 
420 405 50803 
826 106 92001 
907 765 70394 
823 526 64143 
38 328 46149 
263 804 60552 
351 517 88583 
531 925 64682 
803 238 52952 
831 558 32282 
201 519 28518 
890 848 45237 
187 307 29907 
317 48 85311 
788 447 48454 
706 669 37400 
559 308 26540 
475 912 36535 
576 227 86147 
6 405 38340 
606 728 69198 
497 668 26904 
894 470 64719 
877 227 66299 
215 995 95850 
345 493 27097 
182 355 97833 
323 615 27576 
31 764 91351 
748 875 62970 
582 760 75792 
214 471 26835 
187 599 32708 
521 553 35986 
490 435 81105 
906 413 98508 
691 592 46326 
188 995 27781 
119 98 98720 
701 491 67999 
982 649 36846 
353 236 40812 
66 190 61643 
954 93 73324 
600 477 97784 
734 644 71994 
464 301 66539 
166 779 33077 
452 414 32362 
273 392 38081 
132 540 35668 
518 93 46931 
226 210 84537 
644 366 60871 
150 144 42466 
234 370 96526 
532 628 36650 
532 922 61226 
772 644 48708 
316 166 72736 
228 847 91712 
296 54 87369 
141 137 51554 
781 404 30285 
320 656 33252 
737 478 70117 
536 916 30674 
230 225 98117 
32 248 31159 
961 966 96983 
845 468 79901 
945 330 32971 
746 418 75277 
311 281 49784 
782 616 62305 
475 273 38427 
413 248 53026 
895 638 75061 
435 333 95010 
818 272 95062 
760 969 65654 
814 653 72341 
213 253 83529 
577 184 60122 
535 157 93150 
382 448 86263 
381 637 60333 
327 380 81862 
582 733 44186 
515 879 92033 
786 927 49514 
979 15 42303 
55 743 79443 
455 393 93853 
808 612 63499 
844 732 91153 
909 976 40807 
682 228 95641 
422 754 74381 
716 755 25903 
480 143 85466 
489 54 75392 
325 558 34422 
995 630 83300 
203 53 36836 
684 135 75491 
115 627 51338 
699 556 94493 
16 112 54271 
225 281 54800 
753 527 74222 
592 379 59648 
535 669 29081 
898 645 97237 
539 14 61216 
218 433 65699 
789 794 70356 
199 184 99003 
769 95 43649 
603 391 43058 
427 659 63034 
418 732 42204 
42 299 55690 
437 521 32018 
121 2 28421 
630 346 59277 
839 427 60669 
930 116 38591 
764 182 76009 
210 24 85184 
719 214 41837 
446 523 42183 
661 202 95459 
464 49 83614 
411 211 74488 
573 483 77609 
136 339 60314 
544 431 75986 
720 542 61195 
13 516 43620 
959 772 83986 
831 439 91790 
580 409 49532 
149 158 68793 
559 437 99589 
464 128 60191 
312 170 79754 
513 568 74821 
427 96 51211 
720 633 47274 
8 696 64413 
555 677 64320 
75 172 68712 
602 370 91332 
459 469 86576 
93 700 48314 
64 312 49348 
582 599 71683 
996 751 59366 
635 787 25453 
405 310 97540 
842 563 80561 
58 432 37507 
107 379 41004 
231 908 92466 
595 873 48791 
208 424 66587 
704 401 36597 
88 967 82628 
339 442 45871 
772 227 28638 
291 785 71160 
96 10 50480 
907 791 81410 
642 180 58681 
658 266 55491 
419 557 49327 
266 985 85601 
105 135 62496 
703 206 57888 
600 133 96466 
45 805 80956 
790 844 72518 
833 610 81725 
988 615 39738 
78 26 33281 
694 727 47881 
921 366 67021 
837 119 81131 
338 884 37939 
879 292 44368 
772 1 77964 
58 492 73035 
346 151 37634 
810 470 59799 
224 905 52599 
103 245 91590 
519 355 44050 
704 129 62663 
150 413 91558 
872 281 99593 
26 438 52836 
269 583 45748 
531 370 71591 
425 876 56262 
934 430 83690 
284 223 64542 
922 638 48419 
313 803 99978 
277 831 50587 
675 37 75080 
9 915 89280 
233 580 72164 
500 449 39709 
230 490 52795 
136 511 99467 
329 625 68479 
863 695 84800 
544 272 36860 
567 555 48357 
840 704 66569 
587 380 29040 
247 212 69608 
877 255 92125 
882 255 25593 
71 831 39940 
538 667 80798 
549 691 30557 
691 234 82113 
380 327 96046 
356 523 42903 
651 721 47351 
41 40 86623 
448 573 76818 
169 204 55652 
648 954 91395 
169 992 94645 
223 34 75575 
290 21 85426 
581 255 37458 
270 285 60085 
53 534 57594 
245 824 76556 
180 721 72462 
62 570 65969 
989 977 27582 
899 782 75840 
171 589 61474 
648 319 76465 
303 639 96140 
536 825 26016 
322 543 50322 
955 814 88294 
735 746 38359 
326 960 98633 
694 656 26875 
909 546 33174 
860 487 89670 
752 390 42925 
917 834 68952 
305 847 43295 
634 805 98773 
100 498 71198 
964 691 31097 
559 883 95061 
324 68 75285 
497 252 82339 
449 566 59463 
169 990 51109 
862 277 95312 
703 143 46669 
481 541 67253 
33 770 67485 
790 457 38125 
810 145 62496 
347 765 29984 
188 69 32061 
672 278 35727 
244 517 38420 
713 923 74015 
928 735 37063 
641 849 40805 
418 326 28606 
125 1000 74252 
809 620 77285 
298 363 86506 
479 776 56147 
699 855 60280 
170 527 90283 
991 226 59516 
454 921 67793 
285 408 69687 
131 374 63139 
855 803 93769 
941 85 46878 
623 334 76172 
595 738 75548 
962 440 57567 
685 495 99438 
784 599 79871 
891 450 33867 
690 587 65521 
551 579 30795 
513 422 52271 
350 62 41331 
647 261 52244 
817 850 31239 
35 930 79890 
726 226 91563 
377 597 69245 
689 800 77658 
260 169 33110 
523 823 81546 
364 122 35750 
598 163 70110 
317 362 65024 
407 493 79934 
870 440 58654 
639 69 92820 
660 954 72043 
644 572 61695 
996 309 94204 
20 415 82100 
534 252 39382 
698 934 49159 
632 981 92496 
743 506 64447 
810 124 26527 
809 602 81371 
660 571 77988 
353 805 97887 
606 384 79674 
231 980 43354 
909 922 43133 
839 882 36599 
96 381 53587 
910 251 51840 
256 774 81998 
725 234 75595 
51 708 81759 
281 707 80571 
479 679 63930 
513 702 65974 
575 557 46447 
406 689 42117 
154 529 30449 
516 951 49067 
355 201 63554 
631 821 51943 
764 465 61252 
89 779 88692 
265 882 54674 
996 881 61670 
518 284 98829 
158 501 77966 
648 818 26069 
401 689 95761 
902 565 56855 
827 320 37010 
255 495 35116 
999 557 85303 
857 942 40085 
334 527 96253 
747 710 58070 
701 74 65254 
937 594 60180 
973 648 82939 
985 852 44939 
697 794 98206 
317 408 27226 
219 257 84170 
15 849 33257 
622 955 52584 
746 221 70999 
505 937 77159 
736 917 89414 
302 373 77458 
217 333 33580 
77 44 81922 
215 799 93127 
164 79 56303 
996 199 67476 
182 199 97836 
572 733 52035 
773 262 61388 
991 508 48404 
749 21 94392 
876 81 38063 
828 996 27485 
725 877 79777 
136 972 95125 
146 645 97291 
421 480 92125 
419 274 34679 
188 419 66477 
275 355 68560 
890 604 79669 
420 111 53966 
630 997 57053 
631 496 81684 
793 164 58797 
24 917 57945 
490 914 52169 
818 884 27733 
51 958 33597 
865 444 62705 
784 607 30701 
414 984 79978 
298 851 36280 
141 45 98372 
716 406 87357 
851 959 33930 
363 726 94934 
824 674 45367 
208 7 73995 
39 485 89664 
286 694 91853 
833 179 40855 
330 991 46826 
504 911 39628 
450 442 30534 
626 670 82537 
891 530 32479 
932 527 39474 
364 600 25998 
968 886 26687 
541 861 93068 
802 465 30305 
685 834 93749 
932 899 48952 
347 895 29251 
728 835 52200 
688 701 27038 
874 436 39924 
444 430 46254 
33 918 75326 
512 147 96445 
515 184 44690 
978 443 74268 
470 800 88040 
922 616 30003 
820 360 80326 
640 4 69716 
136 657 90624 
311 629 84296 
521 796 56269 
29 39 32480 
197 205 64430 
260 354 58689 
572 385 47894 
809 504 96018 
458 625 26873 
208 617 74525 
559 173 89968 
147 32 94403 
705 153 79454 
348 438 55557 
85 148 81637 
434 615 53398 
26 247 56560 
548 314 34528 
279 855 26368 
230 935 99795 
151 338 28153 
60 46 41358 
869 842 46503 
412 756 27959 
916 628 53481 
771 420 94273 
799 256 81268 
500 5 48244 
903 885 30390 
947 687 28471 
14 832 88062 
549 206 87132 
371 742 48104 
440 913 99291 
542 564 67675 
857 613 36919 
874 252 61898 
495 329 66219 
496 110 83039 
724 292 70789 
942 8 80095 
649 499 87146 
894 821 85433 
318 82 35840 
743 297 52328 
229 642 34470 
75 188 76782 
288 79 38554 
420 237 41325 
634 981 26723 
134 676 74840 
155 642 77871 
314 378 50423 
688 120 95393 
750 793 76753 
59 631 94561 
719 146 54095 
213 358 46019 
646 753 67333 
311 100 93192 
626 850 52845 
475 698 95788 
800 205 75018 
433 543 96856 
964 84 95220 
669 159 73967 
656 729 74397 
943 170 57902 
53 484 54148 
510 879 85358 
141 976 37062 
880 393 97387 
383 570 26662 
855 96 97178 
461 148 88615 
589 879 34403 
97 756 44734 
976 769 39838 
827 394 56375 
498 727 36620 
657 15 90509 
640 347 74721 
477 2 39222 
543 443 48505 
536 745 36369 
446 697 82289 
394 521 93922 
155 245 40004 
976 288 26011 
832 629 34307 
463 581 76529 
861 919 25969 
732 804 85716 
605 970 48512 
604 584 30098 
587 806 97757 
816 141 70794 
264 147 65894 
554 689 43331 
705 709 98631 
180 258 57448 
349 359 32984 
152 499 44946 
181 74 52156 
134 419 51279 
367 467 93131 
767 481 50740 
888 77 66404 
417 20 85107 
731 691 56753 
902 37 25893 
27 945 98523 
541 643 76657 
690 970 61029 
619 458 97134 
65 107 79674 
98 496 38660 
98 83 64792 
159 453 62350 
847 651 50541 
338 197 44201 
472 632 25809 
534 111 49603 
173 65 88550 
691 521 40611 
812 588 85637 
47 355 51516 
175 907 53136 
10 686 65418 
730 732 96003 
282 43 46480 
926 826 36807 
607 831 60383 
798 988 88812 
185 284 55799 
738 193 86008 
52 673 30302 
761 512 85158 
268 794 43194 
856 857 88598 
626 372 52817 
800 212 43520 
463 642 61421 
426 756 86277 
606 82 32851 
521 57 93202 
296 608 53131 
295 907 29216 
726 328 39396 
643 165 57259 
740 975 60307 
467 209 53655 
511 240 27470 
583 364 65619 
110 449 89928 
472 251 99216 
128 787 37862 
157 176 47118 
987 676 40119 
513 376 55170 
141 180 94210 
15 101 64805 
192 450 55174 
541 731 51062 
454 448 90345 
903 142 63517 
246 416 75424 
946 484 26001 
513 148 76686 
634 571 68535 
450 533 43181 
134 67 97048 
961 819 69961 
502 961 55452 
854 188 46849 
386 958 48936 
873 494 30141 
27 570 40943 
934 501 26720 
762 741 34617 
656 766 44823 
917 12 80835 
457 626 62832 
7 684 55524 
315 824 29346 
394 727 74560 
404 797 66979 
735 697 91973 
451 269 26170 
943 211 89899 
689 759 38652 
171 456 95692 
479 633 75470 
360 106 77025 
910 653 73115 
139 756 72160 
605 492 93930 
175 813 66924 
286 638 49139 
218 18 36865 
477 161 61572 
309 826 30944 
866 309 39258 
867 54 53063 
557 683 52764 
183 803 83339 
368 182 90579 
208 74 80368 
702 883 72854 
520 39 78236 
