2000 2500
479 1264 2077 
635 1448 7694 
1174 677 1595 
1954 1909 6788 
883 705 7236 
1206 237 5512 
1005 1436 846 
299 601 7273 
1250 1910 4014 
1710 506 9274 
888 1466 2224 
1952 163 4032 
96 1106 2852 
393 1302 4115 
223 1758 4204 
504 1957 922 
899 1950 9894 
1214 403 7494 
1061 1949 8483 
1765 1192 3784 
1862 558 7802 
1009 858 8763 
1909 1097 2011 
1270 929 1289 
926 475 7197 
53 1 8930 
1122 1549 594 
1686 1432 9545 
136 977 9042 
823 545 4559 
9 1107 5924 
987 1856 8043 
1893 441 8424 
808 1398 5804 
74 994 6424 
1005 1799 7688 
336 317 1075 
1136 1232 5178 
363 1536 689 
1198 614 1780 
451 1185 5890 
1131 87 3726 
1076 1160 9376 
373 140 3930 
1030 615 8080 
851 1676 5572 
295 906 7186 
2000 1246 9639 
31 1003 2133 
1796 503 7386 
1204 1941 8317 
772 437 6858 
212 1351 9453 
1018 1870 5436 
802 1834 5054 
225 1029 5916 
1309 1618 2000 
1429 539 2005 
1400 1631 5912 
369 1413 726 
1440 1489 3943 
1975 1185 7950 
1714 433 8828 
224 1461 2714 
1695 1449 5918 
637 1349 9939 
1267 1569 8939 
225 848 536 
913 395 7601 
420 1820 1824 
1984 892 3760 
1882 1900 4172 
56 835 3571 
126 1365 726 
1172 982 9995 
932 1430 8813 
1308 732 6628 
261 141 7843 
279 985 7436 
1173 1299 8704 
250 659 9396 
1292 1365 5955 
1890 1614 9498 
923 1479 3432 
535 1346 3841 
1418 1564 3299 
1375 931 310 
757 811 7332 
1923 1911 1847 
677 1150 6413 
1489 639 1054 
1447 807 4920 
1478 1977 6673 
771 953 4316 
688 1178 8527 
1600 1241 6162 
1795 1154 1443 
908 1743 4613 
424 1644 9896 
1804 1056 5461 
311 1428 395 
1205 233 399 
755 915 3833 
792 769 6244 
1153 683 8369 
714 1700 1522 
531 1669 2711 
1126 555 4816 
1465 1863 2463 
1171 700 1036 
479 1128 6409 
1410 1807 766 
1516 1998 2767 
124 1285 4616 
1605 371 5132 
1482 838 7809 
470 1054 8286 
1478 1139 6583 
1792 1455 3010 
1404 645 8845 
1671 1423 467 
855 1883 1577 
1038 1393 953 
202 1138 7645 
1390 1971 8423 
1927 1912 5376 
1378 1444 1968 
1014 286 4324 
589 1613 5653 
1275 475 4658 
597 418 3522 
1539 583 9410 
1901 1834 5473 
943 1651 8703 
756 1127 102 
1236 361 4494 
1259 1867 8033 
1382 1309 4946 
1524 813 6413 
1581 1254 2689 
1486 1664 3920 
20 1294 8414 
1521 1109 8744 
1690 616 1850 
1691 562 5207 
537 1034 5935 
1978 1454 7831 
753 1097 6972 
780 594 212 
507 963 7854 
1750 288 2361 
1647 819 3211 
320 1925 3497 
660 1267 9183 
1497 683 557 
228 1882 4548 
1481 1992 4511 
18 125 1455 
1424 1030 4312 
1482 626 3734 
1855 1364 6544 
524 275 5605 
560 9 6308 
1807 105 8463 
1951 742 8934 
1618 1452 9108 
1512 916 1900 
727 144 9747 
551 1798 4740 
262 1332 1642 
1481 709 6438 
65 820 5050 
1456 684 5635 
1325 824 7273 
394 1141 9100 
166 254 3322 
1692 1014 7486 
1790 1676 1873 
1588 1524 9949 
1482 1817 5829 
127 575 5743 
98 1966 6831 
1344 1642 1675 
1954 1032 7863 
230 969 8033 
1483 1200 6830 
1031 65 3300 
278 154 215 
1551 387 1501 
507 1848 4259 
1558 1320 9524 
454 854 8329 
685 603 8182 
1476 1435 3538 
1960 1606 5608 
304 1963 9187 
958 1840 59 
1129 1554 9677 
1653 418 826 
1271 1422 2663 
1166 1402 7406 
1380 243 2092 
203 1961 8621 
314 1547 7111 
1624 1981 2833 
1507 600 1058 
1725 1870 9600 
1444 539 4847 
1875 896 2426 
144 286 144 
1280 457 9568 
1201 1767 310 
503 1065 307 
1781 1170 5916 
670 1917 442 
205 1259 8896 
1379 1700 7871 
733 761 4136 
778 86 8053 
1094 1611 871 
1471 874 2990 
470 67 7554 
27 1825 811 
1834 1356 5997 
1469 1505 3554 
1306 1084 6561 
259 22 2062 
1195 1539 2974 
427 409 6637 
317 967 1095 
89 1621 7826 
1782 236 8870 
896 1259 9819 
1867 1715 6640 
443 700 508 
59 1114 5585 
945 1280 8407 
1817 1798 5995 
1860 1039 8938 
894 1400 7525 
651 1279 6422 
797 779 8932 
773 1285 8202 
655 477 9966 
841 982 3363 
467 490 3176 
227 1529 2974 
513 1715 923 
687 1295 3359 
1765 1055 3807 
1393 544 9292 
606 1061 5712 
216 418 2394 
12 321 9996 
375 1445 7256 
1014 1972 4694 
293 1264 7064 
342 630 9676 
1085 1897 4250 
1068 1088 6897 
1348 846 4667 
1749 1824 9052 
1131 131 9748 
1401 257 4409 
1348 1573 1524 
1144 1050 6775 
1737 395 4554 
143 103 2395 
558 140 9087 
692 21 5157 
892 1828 7029 
613 1043 3067 
1422 682 2579 
152 995 281 
623 80 424 
703 50 5106 
579 254 4743 
1615 238 9230 
376 1968 3072 
1081 1354 3316 
746 1460 1256 
260 1069 2887 
185 641 1678 
1206 1921 6715 
1795 478 9582 
1157 615 5939 
490 1221 7364 
1364 1717 4118 
747 1384 1235 
1362 729 3166 
1234 848 7273 
576 1656 6207 
803 1986 8680 
35 1097 530 
31 576 9001 
1043 468 5659 
175 905 5647 
795 848 1499 
602 48 6120 
55 1614 5341 
357 1845 4668 
340 74 9744 
295 1503 3875 
474 1452 7863 
1526 978 3503 
229 9 4799 
1866 517 2449 
1734 163 9463 
1213 1303 8871 
79 1549 2794 
400 489 9956 
933 406 5837 
1710 1383 9485 
676 1747 8894 
1734 772 5573 
417 1173 2121 
809 1753 7274 
1508 1104 7532 
1925 319 5858 
1158 1439 9787 
1104 108 459 
862 1913 6367 
1385 1567 9840 
265 1482 7322 
1692 478 1958 
743 830 8790 
1261 1050 8806 
1231 837 8055 
524 1671 5303 
344 1946 9119 
1382 1787 7020 
513 492 2542 
1344 10 167 
1478 161 5036 
1339 1652 1791 
1406 1684 9057 
689 1679 9084 
1160 1947 9236 
785 588 344 
1605 1298 7127 
1313 1315 3620 
155 1443 1862 
1995 1706 2630 
893 1106 5404 
662 837 4765 
262 1022 6062 
1595 1069 1419 
131 7 850 
467 1320 2107 
186 1190 5732 
304 697 7667 
1632 218 5470 
1291 256 4780 
1361 365 6394 
1634 1173 3769 
454 1485 4069 
615 471 5721 
1816 1443 9386 
1354 883 1281 
776 1467 2479 
1354 201 1772 
975 1676 5215 
1420 783 770 
849 1931 7286 
1283 1306 3713 
272 434 115 
1792 757 5903 
587 70 3013 
441 1159 6495 
1996 1689 5183 
1789 426 3672 
1592 1627 6492 
1489 1310 348 
259 1844 9894 
1237 794 5760 
567 346 5137 
686 820 142 
38 1408 1645 
1007 817 798 
1764 502 9386 
1118 713 8516 
1984 1586 9532 
1486 1808 8379 
461 1562 1134 
545 1710 7055 
1019 1862 4625 
900 1503 8200 
1977 120 8507 
1238 385 9649 
1020 486 6481 
1765 67 7012 
1580 1009 2208 
1454 219 1300 
370 1905 550 
1290 1825 4031 
1269 392 1551 
1576 1006 3612 
477 757 3880 
334 1621 552 
1324 799 8534 
170 855 4221 
1605 1398 1609 
6 218 3206 
1779 45 3381 
1422 1467 6471 
1287 1786 2414 
704 999 136 
1297 1474 1206 
1197 71 7399 
584 557 6248 
596 898 6934 
697 1995 2913 
1791 723 2337 
1927 1161 7374 
1752 1403 1311 
1471 792 2716 
1092 1627 3349 
1811 927 3740 
300 171 3693 
164 365 153 
687 1847 2160 
385 1868 4468 
632 153 4051 
1879 1066 8331 
574 501 275 
282 588 7613 
1567 1795 7917 
574 438 4037 
1868 1998 2812 
568 19 4933 
174 1764 6827 
275 284 2030 
360 87 7326 
937 394 5288 
899 1604 3753 
985 171 8674 
1936 905 2391 
1844 546 7557 
38 1445 5644 
1000 1104 1899 
659 1951 4669 
1101 1724 5679 
1929 1180 5228 
935 1992 9371 
691 1572 3587 
1502 165 8091 
1804 902 1383 
986 1248 5593 
767 1686 265 
1438 63 8838 
874 975 7629 
1095 285 8539 
818 1260 4165 
1256 1704 3848 
20 1782 9519 
1742 1341 624 
1033 183 8689 
1600 1520 7641 
1408 1106 5317 
215 1648 9781 
415 729 5129 
674 785 2478 
127 1153 7560 
377 1545 5473 
1473 978 425 
1159 1770 2841 
1900 312 5015 
1935 381 4163 
662 1988 6541 
1015 656 7247 
999 1652 6435 
546 61 8470 
1926 542 676 
1909 717 5915 
437 101 692 
906 919 3568 
1718 153 2112 
93 1394 702 
1562 687 6491 
232 919 9547 
1569 1313 7676 
1774 1880 7733 
371 1170 5044 
510 665 5657 
423 1672 7194 
475 1162 3316 
1660 300 3473 
454 350 6807 
1886 1609 3068 
455 234 4772 
767 1611 3195 
193 753 1266 
130 1127 758 
1921 1837 5605 
1481 1784 3728 
333 1230 5948 
256 1546 1839 
1914 1251 3231 
1875 1092 7195 
1031 945 5336 
1039 1276 3164 
958 636 9917 
898 541 5715 
72 1024 992 
986 1361 1409 
1697 1561 2191 
1788 1450 4733 
1524 453 3595 
1544 1620 8673 
1207 1837 7366 
1816 1209 2107 
1274 992 5428 
234 284 2762 
869 1854 2981 
1271 1912 7726 
631 474 5615 
251 1271 560 
1680 407 5677 
296 1273 6572 
504 783 4228 
1576 1625 6055 
1153 548 6547 
503 24 4587 
507 671 9743 
1552 632 5158 
173 384 5229 
1840 1822 5647 
853 1662 2536 
1371 1739 6762 
1606 722 906 
672 1902 6319 
1966 115 1604 
1780 927 6522 
1038 1238 9739 
533 1592 5537 
738 190 6707 
107 1785 2363 
467 1020 7522 
97 156 3842 
1803 917 2094 
1007 752 4298 
1607 792 1872 
267 999 6401 
513 718 8747 
746 1289 8703 
1069 1773 5922 
179 1798 4850 
1905 41 8599 
1930 1625 2606 
1143 94 2871 
206 1347 528 
305 668 7002 
740 1126 7911 
662 897 7284 
921 1228 8827 
509 1375 7457 
1647 24 778 
111 590 4789 
1597 1875 5878 
142 1485 3928 
946 1050 5367 
322 721 4435 
778 22 5278 
1366 1504 2212 
1663 571 3215 
227 1347 2069 
1064 1829 6804 
1166 704 6917 
53 1532 317 
957 1039 624 
758 953 1376 
458 1579 6175 
518 1038 4188 
1532 1959 4344 
1139 800 4710 
522 1393 8897 
1139 476 8778 
1530 780 9110 
201 852 777 
1299 1837 791 
1340 278 2324 
653 1964 6396 
1909 777 4096 
489 1863 8558 
672 860 466 
1977 528 6586 
901 1397 3415 
228 1407 6387 
1572 930 9305 
1093 1706 7183 
1986 1189 1684 
1145 452 4997 
1512 1988 3348 
1635 21 847 
1612 1445 267 
1143 1723 4430 
372 357 8104 
484 1123 5909 
303 525 1858 
820 360 2869 
1464 1849 3996 
1224 529 1656 
1047 339 4830 
96 1839 4663 
1329 1333 7633 
267 335 1931 
448 1013 8503 
1930 63 4355 
1264 513 9587 
146 532 1400 
520 908 5931 
619 1213 3807 
1773 1933 7936 
1376 1802 1434 
726 1265 9083 
781 991 3001 
547 1871 5024 
1563 191 3827 
644 1948 4397 
1716 1972 2364 
520 1717 4677 
1994 486 1166 
1189 1996 2192 
1960 1661 6022 
1244 49 6343 
1366 1193 7448 
1986 1307 6383 
694 12 1364 
1289 1090 2981 
396 1612 9573 
269 494 3485 
43 1637 4584 
1385 459 4059 
1606 1553 1871 
766 1457 7403 
1913 1025 1058 
124 820 8254 
1242 1485 2023 
1018 1518 8996 
803 1443 3438 
543 140 1279 
958 1879 4168 
1395 708 3425 
715 450 6415 
634 1994 6297 
1259 330 2355 
1161 1375 7519 
1141 1552 1808 
1386 1763 1832 
1080 1564 5704 
1860 1043 7630 
1068 1078 5915 
1940 1165 6016 
255 1494 4267 
1916 1008 6491 
748 1744 3214 
1941 728 8218 
1450 1174 5143 
559 1905 7341 
1968 1732 7082 
826 54 9955 
1683 204 5754 
678 874 7745 
1647 832 9067 
953 1209 6109 
32 1949 630 
1053 635 2456 
1162 636 921 
1845 1033 8778 
137 876 1238 
857 1101 7016 
1647 1073 6222 
1959 1577 6879 
742 1488 1482 
1056 217 6478 
267 1523 1201 
1581 1133 68 
1470 1504 3218 
1319 1722 3928 
124 403 2277 
406 106 9485 
1947 352 4649 
1563 1807 3763 
1317 311 6517 
1262 1884 9704 
72 1449 4412 
948 58 4862 
1575 1589 9435 
992 1293 5292 
223 1057 2606 
1370 879 2941 
1013 919 8342 
1523 1264 5574 
1705 1645 9634 
73 700 5637 
959 239 5176 
845 1673 5656 
754 1161 6947 
1936 1180 2386 
1701 959 4784 
294 620 6424 
252 1138 26 
834 853 1778 
1524 683 8341 
238 970 2419 
1772 730 7389 
1608 1313 4111 
45 1854 3758 
1866 926 6688 
45 1718 5178 
453 1516 5045 
986 255 8776 
158 1602 7999 
578 1074 1038 
400 971 5681 
1522 902 4565 
1747 1628 8858 
230 1886 9573 
1942 1582 8411 
1647 992 3690 
1735 1686 1849 
355 1066 7041 
224 703 2964 
1903 1674 5411 
1246 53 6356 
380 596 9840 
104 1865 5724 
172 1369 2222 
582 738 3200 
106 1345 5887 
172 26 8356 
796 773 4204 
660 1129 3613 
1361 782 2777 
1043 1496 8286 
782 850 2154 
889 1978 3027 
464 1936 8171 
1342 1371 2962 
1379 1111 8743 
682 21 774 
825 260 2048 
1588 417 7690 
1583 80 5293 
636 1063 2214 
266 259 9612 
1199 977 2846 
228 832 7191 
744 1279 837 
672 550 8276 
1644 1570 749 
1346 803 4113 
1323 717 3334 
1317 1376 4914 
1435 1774 772 
529 1951 1175 
218 181 7066 
1089 1567 4652 
1197 304 3126 
571 1325 9410 
1449 1681 2060 
194 1266 1811 
1205 128 7590 
1645 564 1553 
1323 456 4359 
1938 1509 3842 
691 1173 4718 
497 806 6546 
1385 213 3702 
1438 244 1171 
1211 724 4063 
1418 702 8970 
337 1442 3384 
911 1064 538 
1736 1734 8504 
644 725 5881 
702 867 9520 
1348 1541 4397 
1722 1601 9179 
1035 992 8061 
1090 1413 7608 
1749 1500 3100 
566 1464 810 
392 183 5883 
368 1935 3640 
1858 977 1615 
1573 1662 2578 
955 929 189 
1748 246 3532 
1324 801 4412 
853 189 1516 
758 1690 2310 
906 48 6660 
43 459 7756 
131 1456 7900 
733 1144 6172 
46 1139 903 
1792 1167 3064 
1259 1601 8274 
182 215 2767 
423 166 5009 
1989 445 2482 
1165 1143 2047 
939 1773 1746 
1611 1642 8030 
364 1620 5161 
1968 999 9023 
50 813 3391 
1406 1392 7021 
1542 1016 3226 
1780 1007 4063 
230 1601 6748 
1096 6 561 
891 1134 3705 
400 1790 3611 
1050 1930 8571 
39 416 2958 
1893 1309 9738 
1700 1147 8222 
697 1489 9976 
1930 1493 1040 
1019 215 7227 
1765 1552 1458 
508 871 4953 
742 1782 7921 
1629 1449 5218 
1817 1706 9930 
1249 1659 1567 
1776 1744 961 
1985 1555 7220 
380 1762 1422 
875 1290 7667 
1134 70 3960 
549 1630 6980 
190 1617 6685 
1026 1126 3084 
1235 542 4511 
415 1929 6051 
308 1226 9110 
1619 575 4379 
1942 1225 855 
821 1658 6505 
879 429 8979 
483 356 2164 
295 265 6299 
336 649 8797 
1602 339 6651 
1133 1720 6579 
328 294 8453 
191 1531 8900 
1792 9 8123 
492 13 6510 
1218 1760 7469 
1112 1983 5326 
907 48 3835 
69 428 9419 
1752 1820 3145 
1804 1191 5347 
578 1124 7689 
285 369 4888 
1431 441 301 
1425 526 432 
1712 1143 3027 
1372 1899 5674 
432 1543 3604 
1912 1766 3186 
314 1390 7604 
1446 914 7563 
1874 864 2722 
503 1252 4519 
975 1567 2175 
1125 185 4677 
1999 1104 4566 
1984 1539 3710 
940 1301 28 
1233 240 2236 
1956 1817 8142 
1960 703 1874 
457 477 1910 
1040 1710 4922 
102 1700 3284 
922 1497 7393 
1984 1379 5615 
1098 1560 9635 
1971 1713 9083 
1938 1365 5416 
1152 1417 4779 
1024 403 5009 
1126 1101 6278 
847 1552 6225 
493 10 2325 
116 1975 3838 
1506 1749 4617 
696 1266 5123 
662 1195 4901 
1171 396 1211 
938 69 1938 
186 1529 8452 
1703 786 1030 
1876 1703 1329 
1104 163 3688 
144 1620 3535 
245 358 6378 
1165 858 9624 
471 170 3470 
1955 632 2108 
405 810 8729 
1145 103 7843 
636 1031 7616 
456 955 9153 
468 601 6753 
605 871 8927 
1704 1929 8827 
1686 1943 3804 
256 1995 1713 
729 65 6147 
391 1799 2356 
92 1299 7879 
1080 10 4122 
1332 1569 8141 
669 70 4496 
1019 1264 1195 
1453 1089 1238 
1493 93 2222 
1394 1007 3399 
1576 1973 5920 
1269 532 8737 
1288 1111 4408 
631 369 2975 
1075 32 3652 
1123 904 7358 
57 752 6772 
64 1798 6048 
1597 1120 5895 
960 1855 9198 
920 1690 4804 
1860 1767 7810 
1706 136 5386 
1942 1738 2399 
1476 1862 1923 
1578 1362 3385 
1091 187 6861 
1185 1028 6197 
1046 1983 6126 
1117 828 3701 
1664 602 2955 
1966 34 3271 
1339 555 2342 
506 1300 586 
1347 260 8535 
733 48 3709 
600 205 5022 
432 1106 5732 
912 1371 6295 
1312 965 5943 
1240 1334 75 
185 346 6637 
1441 417 221 
922 949 9183 
755 1811 7939 
1016 1627 1291 
17 500 6551 
110 1188 5813 
1454 125 8418 
1499 891 9356 
980 1508 5133 
262 669 6566 
1601 413 8480 
196 1971 309 
919 343 8461 
587 356 7782 
1612 1574 8962 
1945 696 5447 
1987 1873 6884 
494 508 1749 
1762 1097 8517 
416 1033 7333 
200 141 5228 
1751 217 5406 
883 1132 3684 
1826 491 8083 
697 1024 8704 
220 38 7423 
361 927 9987 
845 1226 5017 
485 1168 3145 
1848 1519 5204 
1253 20 8773 
1438 888 2107 
1061 1819 1302 
1311 1055 799 
195 278 8846 
708 1740 9967 
1915 918 2908 
497 1757 7621 
291 282 8496 
1076 583 4128 
1190 1086 9802 
1089 1094 7314 
736 1506 9082 
1211 1076 4813 
10 1169 5767 
1188 1476 9098 
171 577 7919 
160 925 3647 
710 61 1000 
946 349 7682 
1553 481 3248 
1603 1234 1508 
1139 170 1814 
1865 1477 7464 
211 1111 542 
1542 480 3602 
332 577 1106 
118 666 556 
342 1584 4235 
1427 1941 3163 
1322 1580 9677 
810 1302 6807 
1481 178 5269 
1544 963 6511 
1670 1940 6843 
503 153 2963 
1224 309 8368 
1117 1691 1737 
928 1470 2295 
39 880 532 
1313 1637 6683 
755 1737 8090 
814 415 357 
405 1582 6842 
605 1075 3695 
1778 1882 9746 
1014 274 5735 
818 981 7274 
1135 97 3285 
1795 1156 4760 
1175 1426 5678 
1877 166 3729 
20 726 9564 
1939 678 5804 
1648 1282 6021 
474 1103 7427 
648 859 8215 
238 1961 2362 
1430 1117 9467 
319 1262 3294 
238 1141 9224 
1914 386 279 
1676 969 5733 
1373 1584 6643 
1098 919 3747 
117 1894 4183 
1858 1185 34 
471 1347 6585 
1653 912 2113 
496 418 7895 
994 1689 8299 
1671 1168 6179 
462 55 9262 
988 1428 7969 
1260 426 3899 
1525 260 2053 
802 832 3764 
584 126 450 
1339 1850 3933 
1047 203 657 
1518 173 8256 
928 109 6762 
1886 1685 1564 
1092 74 6491 
1826 206 3711 
1658 117 2384 
550 1269 313 
615 354 6743 
431 448 2865 
1673 112 9344 
1630 1997 7905 
1472 999 6189 
653 1445 1112 
931 1326 4033 
584 1008 1626 
1405 1590 6495 
913 1821 7112 
1592 1683 2703 
1501 1150 9159 
1635 875 6670 
1246 1272 2393 
1489 1193 1085 
667 134 3791 
572 1093 1356 
1723 1525 9099 
563 817 5121 
1153 813 8843 
400 165 1908 
19 713 8980 
1175 872 735 
356 64 1703 
358 631 2468 
273 855 7076 
1595 379 4494 
1409 1755 9478 
242 790 11 
360 936 1306 
12 61 7668 
651 1064 3640 
919 5 7806 
1477 1015 2560 
786 615 578 
1353 1027 2671 
1928 649 6426 
1938 565 5888 
837 596 4323 
1360 1467 1110 
1439 71 2130 
791 1693 7149 
1837 1721 577 
128 310 9155 
1511 1994 7415 
1321 388 1803 
660 487 2284 
1669 1119 3130 
1812 653 7217 
466 1161 8890 
1725 1502 2355 
450 1356 9209 
646 525 4317 
1474 226 8678 
1565 1542 5419 
1216 1640 1464 
1753 222 1847 
1438 677 9425 
1641 963 6948 
1437 1682 4402 
1475 313 5027 
1011 1123 1651 
815 1048 218 
1472 820 9120 
867 915 3321 
607 593 4106 
1966 251 723 
750 1147 5584 
1312 139 8421 
391 1617 9554 
1623 1236 9158 
334 638 9404 
1376 1274 3237 
1910 766 6901 
1048 1140 6188 
590 1581 3148 
630 242 8940 
1639 823 566 
954 1872 388 
1852 1404 6909 
440 728 1128 
203 1924 6880 
1344 1126 3255 
27 509 1288 
58 970 1831 
1579 340 6123 
1656 1268 8527 
1040 1346 9282 
424 892 3294 
247 1319 8393 
155 188 2971 
193 1786 9213 
549 373 8483 
904 1289 4083 
1900 1445 2293 
869 223 7573 
796 188 2334 
1698 819 6729 
1785 1221 6912 
81 1091 3079 
353 1886 6854 
1417 1795 3429 
630 1359 1140 
1715 1877 7948 
1238 798 7211 
1115 1650 9094 
1814 1146 6609 
1666 311 3708 
819 935 5273 
771 1917 8782 
1142 747 5373 
621 1081 2475 
364 1606 7839 
1475 1183 5920 
1829 465 6345 
1776 1896 467 
1562 1041 6963 
1477 1282 8404 
278 1714 6078 
1338 1946 3937 
1260 142 1988 
1908 590 7747 
1119 1585 5496 
1810 930 6641 
874 1906 4400 
1920 513 1646 
881 1523 8730 
1737 1859 8754 
1844 392 1191 
1750 60 5488 
677 887 1062 
1254 1821 8879 
1521 851 883 
833 1902 5028 
1068 453 583 
314 1172 7065 
1682 770 7310 
620 45 2900 
1421 1970 4566 
1550 596 4187 
1984 91 1617 
1658 1068 5086 
1189 1617 9505 
868 1342 9801 
977 181 9271 
1469 154 2963 
577 1705 4879 
295 1425 7885 
532 1809 1613 
1251 1019 717 
628 849 3217 
88 1812 7669 
1385 110 5690 
1683 966 9958 
706 1250 7754 
926 420 3086 
1149 1134 5544 
194 574 2299 
1292 1432 3359 
129 1921 6525 
1907 619 7588 
939 1567 1919 
853 1178 7351 
288 1978 2919 
734 82 8642 
80 1846 2375 
661 832 6048 
1633 54 4534 
1413 1414 2063 
1777 497 5165 
1568 447 6583 
844 1151 9418 
437 967 1996 
1685 1279 8248 
1413 330 6695 
394 251 7051 
1339 1687 2647 
181 738 8038 
269 808 8472 
767 1602 8480 
564 946 5566 
1295 497 831 
1693 1102 1513 
722 1934 1477 
934 1056 4860 
622 1821 3450 
639 206 4060 
1210 1925 7791 
1263 1265 5432 
1496 1830 5803 
551 1832 2457 
1967 1394 3259 
11 1584 2202 
1761 976 5251 
71 1886 8068 
687 1050 6665 
1578 1548 4499 
1963 1917 8491 
1541 1727 4368 
1602 883 4938 
696 1469 9537 
1197 424 242 
1675 1913 8509 
1390 803 3774 
1269 591 7298 
1652 1690 7507 
1485 1153 4620 
345 111 3828 
1109 933 9862 
1489 1652 3038 
1305 829 2680 
1254 1542 3002 
1277 1415 8488 
325 186 8792 
1009 1011 2175 
542 1339 7674 
1377 94 4374 
813 78 4413 
69 554 5834 
1618 214 2937 
808 381 1376 
1344 874 1147 
44 361 6139 
615 1388 5233 
768 761 6790 
724 1154 2514 
417 1404 5915 
585 1166 5180 
532 475 7621 
1423 706 6525 
1628 815 7659 
1805 912 5994 
80 298 9127 
531 1738 3579 
1474 462 7398 
1665 122 168 
1269 595 2166 
253 308 3153 
585 281 5739 
1454 762 1780 
569 381 3247 
169 1422 9418 
421 524 2806 
1206 924 8778 
860 517 8587 
1198 1515 1103 
873 1797 5681 
188 57 665 
18 1781 7856 
192 1632 96 
1782 1018 3513 
772 587 5927 
708 137 2069 
534 480 521 
1886 997 2813 
1802 1197 7799 
835 494 2686 
994 1900 2444 
382 10 1200 
1170 354 1344 
676 1253 9073 
1987 1746 895 
220 169 8770 
410 390 4130 
1989 1064 4097 
939 891 9368 
85 31 3592 
1718 1649 4721 
162 1845 1762 
246 484 3296 
684 686 2155 
736 1540 8906 
1838 329 692 
1299 1871 6029 
1950 257 6308 
648 1006 5951 
497 1756 4158 
54 1187 6953 
967 95 9934 
1191 186 9220 
1985 250 9806 
1379 1622 1356 
1315 1753 7015 
1862 1022 9441 
1375 1554 4572 
328 1419 4255 
966 1472 7357 
1548 1367 3046 
849 268 9363 
703 1934 8393 
944 1132 4651 
1918 197 6034 
234 1404 6848 
665 1705 1441 
1822 321 7717 
1284 375 7501 
1530 201 4312 
422 1937 7941 
415 395 824 
1834 321 4156 
1434 558 3810 
1337 479 4193 
558 1634 9864 
1681 1880 7808 
820 1784 9674 
467 1501 9001 
1824 1833 6420 
1244 1526 7597 
1588 500 8897 
1853 660 3428 
1459 1960 7000 
1186 1317 3203 
765 1423 7963 
593 718 2914 
930 7 3917 
527 792 3797 
1781 1392 7663 
4 1492 2763 
546 696 3428 
691 639 1952 
1762 1658 8140 
303 15 2402 
1665 868 6806 
434 1239 4019 
236 872 5258 
847 1458 442 
434 1398 5305 
1593 1259 9182 
1351 704 88 
542 833 4329 
570 1895 8373 
1101 89 7772 
291 1594 3913 
762 1598 9368 
1945 1976 667 
1828 636 7720 
